home_team,hr_index
ARI,108
ATL,102
BAL,97
BOS,99
CHC,111
CIN,116
CLE,96
COL,144
CWS,104
DET,94
HOU,102
KC,83
LAA,101
LAD,93
MIA,90
MIL,111
MIN,103
NYM,104
NYY,115
OAK,82
PHI,109
PIT,90
SD,97
SEA,95
SF,83
STL,99
TB,91
TEX,113
TOR,104
WSH,101
